arterial_network,INSERT,{Trunk of right third lumbar artery;Trunk of posterior ramus of right third lumbar artery}
arterial_network,INSERT,{Trunk of left obturator artery;Trunk of pubic branch of left obturator artery}
arterial_network,INSERT,{Trunk of right obturator artery;Trunk of pubic branch of right obturator artery}
venous_network,INSERT,{Right atrium;Trunk of smallest cardiac vein}
venous_network,INSERT,{Trunk of azygos vein;Trunk of right ninth posterior intercostal vein}
venous_network,INSERT,{Trunk of hemiazygos vein;Trunk of left ninth posterior intercostal vein}
venous_network,INSERT,{Trunk of azygos vein;Trunk of pericardial vein}
arterial_network,INSERT,{Trunk of right internal pudendal artery;Trunk of right transverse perineal artery}
venous_network,INSERT,{Trunk of right internal pudendal vein;Trunk of right transverse perineal vein}
arterial_network,INSERT,{Trunk of left uterine artery;Trunk of left posterior azygos artery of vagina}
arterial_network,INSERT,{Trunk of right uterine artery;Trunk of right posterior azygos artery of vagina}
venous_network,INSERT,{Trunk of left internal iliac vein;Trunk of left middle rectal vein}
venous_network,INSERT,{Trunk of left internal iliac vein;Trunk of left vesical vein}
venous_network,INSERT,{Trunk of right internal iliac vein;Trunk of right middle rectal vein}
venous_network,INSERT,{Trunk of right internal iliac vein;Trunk of right vesical vein}
arterial_network,INSERT,{Trunk of right obturator artery;Trunk of anterior branch of right obturator artery}
arterial_network,INSERT,{Trunk of left renal artery;Trunk of left inferior suprarenal artery branch of left renal artery}
arterial_network,INSERT,{Trunk of right inferior phrenic artery;Trunk of right superior suprarenal artery branch of right inferior phrenic artery}
venous_network,INSERT,{Trunk of anterior cardiac vein;Trunk of right marginal vein}
venous_network,INSERT,{Trunk of right internal iliac vein;Venae comitantes of right internal pudendal vein}
arterial_network,INSERT,{Trunk of right internal pudendal artery;Trunk of right deep artery of the clitoris}
arterial_network,INSERT,{Trunk of right internal pudendal artery;Trunk of right deep artery of the penis}
arterial_network,INSERT,{Trunk of right superior vesical artery;Trunk of right artery of ductus deferens}
venous_network,INSERT,{Trunk of right brachiocephalic vein;Trunk of right first posterior intercostal vein}
arterial_network,INSERT,{Trunk of deep part of right superior gluteal artery;Trunk of inferior division of deep part of right superior gluteal artery}
