microcirculations,INSERT,{Trunk of anterior branch of left obturator artery;22460;ART;N}
microcirculations,INSERT,{Trunk of posterior branch of left obturator artery;22460;ART;N}
microcirculations,INSERT,{Trunk of left superior suprarenal artery branch of left inferior phrenic artery;15630;ART;N}
microcirculations,INSERT,{Trunk of right inferior suprarenal artery branch of right renal artery;15630;ART;N}
microcirculations,INSERT,{Trunk of oblique vein of the left atrium;7097;VEN;N}
microcirculations,INSERT,{Trunk of atrial anastomotic branch of circumflex coronary artery;7097;ART;N}
microcirculations,INSERT,{Trunk of artery of sinuatrial node branch of right coronary artery;7097;ART;N}
microcirculations,INSERT,{Trunk of left vaginal artery;74318;ART;N}
microcirculations,INSERT,{Trunk of left vaginal vein;74318;VEN;N}
microcirculations,INSERT,{Trunk of left artery of urethral bulb;74318;ART;N}
microcirculations,INSERT,{Trunk of bulbo-urethral gland tributary of left penile bulb vein;74318;VEN;N}
microcirculations,INSERT,{Trunk of left perineal artery;21922;ART;N}
microcirculations,INSERT,{Trunk of left perineal vein;21922;VEN;N}
microcirculations,INSERT,{Trunk of left artery of urethral bulb;20018;ART;N}
microcirculations,INSERT,{Trunk of bulbo-urethral gland tributary of left penile bulb vein;20018;VEN;N}
microcirculations,INSERT,{Trunk of left inferior gluteal artery;46444;ART;N}
microcirculations,INSERT,{Venae comitantes of left inferior gluteal vein;46444;VEN;N}
microcirculations,INSERT,{Venae comitantes of left internal pudendal vein;46444;VEN;N}
microcirculations,INSERT,{Trunk of muscular branch of left internal pudendal artery;46444;ART;N}
microcirculations,INSERT,{Trunk of left colic vein;14551;VEN;N}
microcirculations,INSERT,{Trunk of ascending branch of left colic artery;14551;ART;N}
microcirculations,INSERT,{Trunk of left deep artery of the clitoris;20174;ART;N}
microcirculations,INSERT,{Trunk of left deep artery of the penis;19620;ART;N}
microcirculations,INSERT,{Trunk of left dorsal artery of the penis;19620;ART;N}
microcirculations,INSERT,{Trunk of left musculophrenic artery;13334;ART;N}
microcirculations,INSERT,{Trunk of left musculophrenic vein;13334;VEN;N}
microcirculations,INSERT,{Trunk of left testicular artery;18257;ART;N}
microcirculations,INSERT,{Trunk of left testicular vein;18257;VEN;N}
microcirculations,INSERT,{Trunk of left artery of ductus deferens;18257;ART;N}
